quarter,nav
2006Q2,62.956443267534944
2006Q3,64.23513796474218
2006Q4,66.30512416723968
2007Q1,62.75860913195646
2007Q2,68.56641218186931
2007Q3,72.33878326716551
2007Q4,75.79397196316933
2008Q1,72.57243109202518
2008Q2,73.19717609767258
2008Q3,72.15330414841036
2008Q4,67.50571968028687
2009Q1,72.00482277914628
2009Q2,81.37708957539785
2009Q3,87.963243192089
2009Q4,103.28459681800597
2010Q1,107.05572415930669
2010Q2,107.42069895735533
2010Q3,105.51237861391654
2010Q4,106.07784380518828
2011Q1,111.9653927177865
2011Q2,120.2242350554661
2011Q3,122.90739353861667
2011Q4,139.72552068943418
2012Q1,153.29915304756264
2012Q2,158.14926153504416
2012Q3,172.31263304469363
2012Q4,187.7068640260411
2013Q1,194.36266369886414
2013Q2,202.73868666179695
2013Q3,203.47756135814654
2013Q4,194.3885891173426
2014Q1,187.98945666634327
2014Q2,182.77091439328274
2014Q3,180.18307286571033
2014Q4,190.2952374561346
2015Q1,186.24073965200083
2015Q2,189.15649802302946
2015Q3,189.25458675697763
2015Q4,195.08855209276143
2016Q1,188.29528074339194
2016Q2,184.65852851689874
2016Q3,190.8962290498837
2016Q4,194.93615186712245
2017Q1,195.90316129393153
2017Q2,202.32255899223543
2017Q3,211.77624162967768
2017Q4,218.64921098875422
2018Q1,217.0340117514258
2018Q2,227.25464017889715
2018Q3,209.01794365715926
2018Q4,195.90609223923082
2019Q1,191.24069499483764
2019Q2,200.53860152727736
2019Q3,205.77200352476183
2019Q4,211.86630901458855
2020Q1,208.89974819841825
2020Q2,214.00653032453445
2020Q3,213.65849589151264
2020Q4,219.3624845197016
2021Q1,222.74001321393544
2021Q2,228.9700088816383
2021Q3,242.91974187532026
2021Q4,252.18735454255608
2022Q1,257.25847953536305
2022Q2,271.85412621829613
2022Q3,284.58928470813476
2022Q4,288.96201264050507
2023Q1,282.4970454692979
2023Q2,287.59851281047673
2023Q3,295.49598261062096
2023Q4,301.7168675209662
2024Q1,301.2840179448426
2024Q2,304.3257737858429
2024Q3,294.87690945539
